[2026-08-04T17:58:48.861Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js → 200 (?ms, -752B)
[2026-08-04T17:58:48.861Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js → 200 (?ms, -750B)
[2026-08-04T17:58:48.861Z] GET https://cdn.jsdelivr.net/npm/animejs/dist/bundles/anime.umd.min.js → 200 (?ms, -749B)
[2026-08-04T17:58:48.872Z] GET http://localhost:8934/assets/disassemble/home-screen.jpg → 200 (?ms, -188B)
[2026-08-04T17:58:48.872Z] GET http://localhost:8934/assets/disassemble/progress-card.jpg → 200 (?ms, -188B)
[2026-08-04T17:58:48.872Z] GET http://localhost:8934/assets/disassemble/pr-badge.jpg → 200 (?ms, -187B)
[2026-08-04T17:58:48.873Z] GET http://localhost:8934/assets/hero-phone.mp4 → 206 (5ms, -239B)
[2026-08-04T17:58:57.462Z] GET http://localhost:8934/assets/barbell/plate-45.webp → 304 (1ms, ?B)
[2026-08-04T17:58:57.462Z] GET http://localhost:8934/assets/barbell/plate-35.webp → 304 (2ms, ?B)
[2026-08-04T17:58:57.462Z] GET http://localhost:8934/assets/barbell/plate-25.webp → 304 (2ms, ?B)
[2026-08-04T17:58:57.462Z] GET http://localhost:8934/assets/barbell/plate-10.webp → 304 (2ms, ?B)
[2026-08-04T17:58:57.462Z] GET http://localhost:8934/assets/barbell/bar.webp → 304 (2ms, ?B)
[2026-08-04T17:59:16.602Z] GET http://localhost:8934/index.html?bb=5 → 200 (3ms, 74350B)
[2026-08-04T17:59:16.607Z] GET http://localhost:8934/assets/setpr-icon.png → 200 (1ms, -189B)
[2026-08-04T17:59:16.608Z] GET http://localhost:8934/assets/hero-phone-poster.jpg → 200 (?ms, -188B)
[2026-08-04T17:59:16.609Z] GET https://cdn.jsdelivr.net/npm/motion@12.42.2/dist/motion.js → 200 (?ms, -770B)
[2026-08-04T17:59:16.610Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/gsap.min.js → 200 (?ms, -752B)
[2026-08-04T17:59:16.610Z] GET https://cdn.jsdelivr.net/npm/gsap@3.15/dist/ScrollTrigger.min.js → 200 (?ms, -750B)
